id,created_at,subject,from,to,cc,bcc,reply_to,last_event,sent_at,scheduled_at,api_key_id
9a58fc74-291f-41f0-8c6d-14d0cc5a985f,2026-01-22 16:43:23.151655+00,GhostMyData SEO Alert - Score: 78/100,GhostMyData <noreply@send.ghostmydata.com>,super_admin@ghostmydata.com,,,,suppressed,2026-01-22 16:43:23.29+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
56689bf2-8aa0-404a-b035-26613d927782,2026-01-23 20:39:25.318206+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta,GhostMyData <noreply@send.ghostmydata.com>,privacy@whitepages.com,,,,suppressed,2026-01-23 20:39:25.493+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
6d027450-56eb-4ac6-b3e5-14521e3cfbcd,2026-01-25 09:11:40.167254+00,GhostMyData SEO Alert - Score: 79/100,GhostMyData <noreply@send.ghostmydata.com>,super_admin@ghostmydata.com,,,,suppressed,2026-01-25 09:11:40.287+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
6879e1c5-4c9c-49b7-97a5-106c56b4ab9b,2026-01-26 20:07:39.040155+00,Data Deletion Request - CCPA/GDPR - Rakesh Kathuria,GhostMyData <noreply@send.ghostmydata.com>,privacy@whitepages.com,,,,suppressed,2026-01-26 20:07:39.197+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
d1f532ac-5a1f-4dea-93d0-37a0a395b0b4,2026-01-26 20:10:56.771812+00,Data Deletion Request - CCPA/GDPR - Rakesh Kathuria,GhostMyData <noreply@send.ghostmydata.com>,privacy@yellowpages.com,,,,suppressed,2026-01-26 20:10:56.926+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
f2f0cfbc-5357-406b-abcd-6709a959b119,2026-01-26 20:10:59.245626+00,Data Deletion Request - CCPA/GDPR - Rakesh Kathuria,GhostMyData <noreply@send.ghostmydata.com>,privacy@infospace.com,,,,suppressed,2026-01-26 20:10:59.428+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
8b824a17-47b4-4aca-b49e-fbc778a69db1,2026-01-27 12:17:32.800954+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta,GhostMyData <noreply@send.ghostmydata.com>,privacy@whitepages.com,,,,suppressed,2026-01-27 12:17:33.178+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
8b281ec5-4b86-4e30-81cd-b5ef8348239a,2026-01-28 02:57:45.262948+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@findthatlead.com,,,,suppressed,2026-01-28 02:57:45.378+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
53fa5e1a-8ae5-4d2e-be4c-ee3b1bc7f699,2026-01-28 02:57:47.746618+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@aeroleads.com,,,,suppressed,2026-01-28 02:57:47.897+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
fca46b29-912f-42f3-bb4f-0397a681df7b,2026-01-28 02:57:48.658179+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@signalhire.com,,,,suppressed,2026-01-28 02:57:48.821+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
bebf79c3-d8f9-425e-bf6a-90fa760d5713,2026-01-28 02:57:50.574047+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@getprospect.com,,,,suppressed,2026-01-28 02:57:50.716+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
0e07cfcb-c172-45c1-89ec-7c5137af1f5b,2026-01-28 02:57:56.195026+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (2 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@facecheck.id,,,,suppressed,2026-01-28 02:57:56.391+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
197e4131-f0ee-4ef7-803c-219e2bb3ddcd,2026-01-28 02:58:07.03745+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (2 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@infogroup.com,,,,suppressed,2026-01-28 02:58:07.169+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
bd1fee76-863d-45d7-a560-7c79d248aa61,2026-01-28 02:58:18.780282+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@billiongraves.com,,,,suppressed,2026-01-28 02:58:18.916+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
32055915-6e34-4762-a90b-f73c4243127d,2026-01-28 02:58:20.1068+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@genealogybank.com,,,,suppressed,2026-01-28 02:58:20.247+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
26a1e881-7c9d-452a-abb4-e22210462412,2026-01-28 02:58:20.572525+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (1 records),GhostMyData <noreply@send.ghostmydata.com>,gdpr@snov.io,,,,suppressed,2026-01-28 02:58:20.765+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
d7e00490-114a-483b-b454-8d40e9f1aa30,2026-01-28 02:58:21.956992+00,Data Deletion Request - CCPA/GDPR - Sandeep Gupta (2 records),GhostMyData <noreply@send.ghostmydata.com>,privacy@infobel.com,,,,suppressed,2026-01-28 02:58:22.093+00,,fb3336bd-5b87-43ab-bb3a-d540492f8db5
